"Time","camera_rel_pose_dphi","camera_rel_pose_dx","camera_rel_pose_dy","fusion_rel_pose_dphi","fusion_rel_pose_dx","fusion_rel_pose_dy","groundtruth_follow_longi_velocity","groundtruth_lead_longi_velocity","groundtruth_rel_pose_dphi","groundtruth_rel_pose_dx","groundtruth_rel_pose_dy","lidar_rel_pose_dphi","lidar_rel_pose_dx","lidar_rel_pose_dy"
0,0,0,0,0,0,0,0,0,0,-11.89,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,3.11,1.923859255e-10,0,0,0
0.011,0,0,0,0,0,0,3.807334575e-09,3.807334575e-09,0,3.11,2.258640383e-08,0,0,0
0.021,0,0,0,0,0,0,1.791336353e-08,1.791336353e-08,-2.220446049e-16,3.11,8.51920912e-08,0,0,0
0.031,0,0,0,0,0,0,-2.607814418e-08,-2.607814419e-08,-4.440892099e-16,3.11,1.595428706e-07,0,0,0
0.041,0,0,0,0,0,0,-8.217679824e-08,-8.217679815e-08,-1.554312234e-15,3.11,2.43980033e-07,0,0,0
0.051,0,0,0,0,0,0,-1.361082191e-07,-1.36108218e-07,7.771561172e-15,3.11,3.327006096e-07,0,0,0
0.061,0,0,0,0,0,0,-1.759360449e-07,-1.759360464e-07,3.774758284e-14,3.11,4.109054025e-07,0,0,0
0.071,0,0,0,0,0,0,-1.996336441e-07,-1.996336499e-07,8.193445922e-14,3.11,4.833339602e-07,0,0,0
0.081,0,0,0,0,0,0,-2.131541247e-07,-2.131541317e-07,1.34336986e-13,3.11,5.40292427e-07,0,0,0
0.091,0,0,0,0,0,0,-2.156331451e-07,-2.156331477e-07,1.900701818e-13,3.11,5.797914509e-07,0,0,0
0.101,0,0,0,0,0,0,-2.113849279e-07,-2.113849208e-07,2.482458683e-13,3.11,6.015989079e-07,0,0,0
0.111,0,0,0,0,0,0,-2.004455694e-07,-2.00445549e-07,3.073097332e-13,3.11,5.997578566e-07,0,0,0
0.121,0,0,0,0,0,0,-1.827207348e-07,-1.827206998e-07,3.670397319e-13,3.11,5.7725632e-07,0,0,0
0.131,-0.001819930342,3.128728332,0.005598101969,-0.01644525536,3.141999354,0.05092038875,-1.593558696e-07,-1.593558208e-07,4.263256415e-13,3.11,5.307572121e-07,-0.01644525516,3.141993973,0.05092043935
0.141,-0.001819930342,3.128728332,0.005598101969,-0.01644525927,3.141943028,0.05092128615,-1.28875435e-07,-1.288753748e-07,4.842792833e-13,3.11,4.615742933e-07,-0.01644525516,3.141993973,0.05092043935
0.151,-0.001819930342,3.128728332,0.005598101969,-0.01644553579,3.141897772,0.0509236834,-9.228222544e-08,-9.228215691e-08,5.415667914e-13,3.11,3.703615287e-07,-0.01644525516,3.141993973,0.05092043935
0.161,-0.001819930342,3.128728332,0.005598101969,-0.01644553921,3.141893493,0.05092368173,-4.863155562e-08,-4.863148205e-08,5.975220319e-13,3.11,2.564039155e-07,-0.01644525516,3.141993973,0.05092043935
0.171,-0.001819930342,3.128728332,0.005598101969,-0.01644558213,3.141875393,0.05092415306,2.372161444e-09,2.372236879e-09,6.519229601e-13,3.11,1.218788489e-07,-0.01644525516,3.141993973,0.05092043935
0.181,-0.001819930342,3.128728332,0.005598101969,-0.01644558635,3.141874659,0.05092405274,6.100506918e-08,6.100514366e-08,7.052136652e-13,3.11,-3.375230369e-08,-0.01644525516,3.141993973,0.05092043935
0.191,-0.001819930342,3.128728332,0.005598101969,-0.01356264389,3.155993279,0.03368753775,1.273305233e-07,1.273305944e-07,7.571721028e-13,3.11,-2.075587721e-07,-0.009043365661,3.172987982,0.006234038505
0.201,-0.001819930342,3.128728332,0.005598101969,-0.01356276608,3.15599368,0.03368810977,1.996225593e-07,1.996226252e-07,8.080203173e-13,3.11,-3.981104454e-07,-0.009043365661,3.172987982,0.006234038505
0.211,-0.001819930342,3.128728332,0.005598101969,-0.01356263719,3.155993125,0.03368709929,2.769347668e-07,2.76934826e-07,8.575362642e-13,3.11,-6.032565017e-07,-0.009043365661,3.172987982,0.006234038505
0.221,-0.001819930342,3.128728332,0.005598101969,-0.01356266798,3.155993483,0.03368707732,3.575127321e-07,3.575127835e-07,9.054978989e-13,3.11,-8.199573461e-07,-0.009043365661,3.172987982,0.006234038505
0.231,-0.001819930342,3.128728332,0.005598101969,-0.01356262973,3.15599102,0.03368665905,4.393369814e-07,4.393370244e-07,9.521272659e-13,3.11,-1.046524212e-06,-0.009043365661,3.172987982,0.006234038505
0.241,-0.001819930342,3.128728332,0.005598101969,-0.0135626384,3.155991478,0.03368648271,5.196374539e-07,5.196374883e-07,9.980904991e-13,3.11,-1.279661103e-06,-0.009043365661,3.172987982,0.006234038505
