"Time","estimated_follow_longi_velocity","follow_velocity_deviation_FL","follow_velocity_deviation_FR","follow_velocity_deviation_RL","follow_velocity_deviation_RR","follow_wheel_rot_rate_change_FL","follow_wheel_rot_rate_change_FR","follow_wheel_rot_rate_change_RL","follow_wheel_rot_rate_change_RR","follow_wheel_speed_CG_FL","follow_wheel_speed_CG_FR","follow_wheel_speed_CG_RL","follow_wheel_speed_CG_RR","groundtruth_follow_longi_velocity","is_follow_wheel_data_valid_FL","is_follow_wheel_data_valid_FR","is_follow_wheel_data_valid_RL","is_follow_wheel_data_valid_RR"
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,3.825067213e-06,3.825067213e-06,3.80646e-06,3.80646e-06,3.807334575e-09,0,0,0,0
0.021,-1.060598523e-05,0,0,0,0,0,0,0,0,3.825067213e-06,3.825067213e-06,3.80646e-06,3.80646e-06,1.791336353e-08,0,0,0,0
0.031,-2.127870289e-05,0,0,0,0,0,0,0,0,3.825067213e-06,3.825067213e-06,3.80646e-06,3.80646e-06,-2.607814418e-08,0,0,0,0
0.041,-3.199469965e-05,0,0,0,0,0,0,0,0,3.825067213e-06,3.825067213e-06,3.80646e-06,3.80646e-06,-8.217679823e-08,0,0,0,0
0.051,-4.268359864e-08,4.209889851e-05,4.335365273e-05,4.210422722e-05,4.334870781e-05,1e-05,1e-05,1e-05,1e-05,-6.273795916e-07,6.273803327e-07,-6.222402983e-07,6.222402983e-07,-1.36108219e-07,1,1,1,1
0.061,-1.078007424e-05,4.209889851e-05,4.335365273e-05,4.210422722e-05,4.334870781e-05,1e-05,1e-05,1e-05,1e-05,-6.273795916e-07,6.273803327e-07,-6.222402983e-07,6.222402983e-07,-1.75936045e-07,1,1,1,1
0.071,-2.15131085e-05,4.209889851e-05,4.335365273e-05,4.210422722e-05,4.334870781e-05,1e-05,1e-05,1e-05,1e-05,-6.273795916e-07,6.273803327e-07,-6.222402983e-07,6.222402983e-07,-1.996336444e-07,1,1,1,1
0.081,-3.223592939e-05,4.209889851e-05,4.335365273e-05,4.210422722e-05,4.334870781e-05,1e-05,1e-05,1e-05,1e-05,-6.273795916e-07,6.273803327e-07,-6.222402983e-07,6.222402983e-07,-2.131541251e-07,1,1,1,1
0.091,-4.290733947e-08,4.260085246e-05,4.329972292e-05,4.260390627e-05,4.329705471e-05,5e-06,5e-06,5e-06,5e-06,-3.49436396e-07,3.494373307e-07,-3.465742185e-07,3.465742185e-07,-2.156331452e-07,1,1,1,1
0.101,-1.07468134e-05,4.260085246e-05,4.329972292e-05,4.260390627e-05,4.329705471e-05,5e-06,5e-06,5e-06,5e-06,-3.49436396e-07,3.494373307e-07,-3.465742185e-07,3.465742185e-07,-2.113849275e-07,1,1,1,1
0.111,-2.14420635e-05,4.260085246e-05,4.329972292e-05,4.260390627e-05,4.329705471e-05,5e-06,5e-06,5e-06,5e-06,-3.49436396e-07,3.494373307e-07,-3.465742185e-07,3.465742185e-07,-2.004455682e-07,1,1,1,1
0.121,-3.212931682e-05,4.260085246e-05,4.329972292e-05,4.260390627e-05,4.329705471e-05,5e-06,5e-06,5e-06,5e-06,-3.49436396e-07,3.494373307e-07,-3.465742185e-07,3.465742185e-07,-1.827207328e-07,1,1,1,1
0.131,-4.276574916e-08,4.302052515e-05,4.259566105e-05,4.301897882e-05,4.259759355e-05,3.333333333e-06,3.333333333e-06,3.333333333e-06,3.333333333e-06,2.12432449e-07,-2.124333639e-07,2.106926358e-07,-2.106926358e-07,-1.593558667e-07,1,1,1,1
0.141,-1.071525122e-05,4.302052515e-05,4.259566105e-05,4.301897882e-05,4.259759355e-05,3.333333333e-06,3.333333333e-06,3.333333333e-06,3.333333333e-06,2.12432449e-07,-2.124333639e-07,2.106926358e-07,-2.106926358e-07,-1.288754315e-07,1,1,1,1
0.151,-2.138063986e-05,4.302052515e-05,4.259566105e-05,4.301897882e-05,4.259759355e-05,3.333333333e-06,3.333333333e-06,3.333333333e-06,3.333333333e-06,2.12432449e-07,-2.124333639e-07,2.106926358e-07,-2.106926358e-07,-9.228222149e-08,1,1,1,1
0.161,-3.204003739e-05,4.302052515e-05,4.259566105e-05,4.301897882e-05,4.259759355e-05,3.333333333e-06,3.333333333e-06,3.333333333e-06,3.333333333e-06,2.12432449e-07,-2.124333639e-07,2.106926358e-07,-2.106926358e-07,-4.863155138e-08,1,1,1,1
0.171,-4.265186474e-08,4.354880874e-05,4.18373572e-05,4.354199686e-05,4.184455824e-05,2.5e-06,2.5e-06,2.5e-06,2.5e-06,8.557270098e-07,-8.55731966e-07,8.48719309e-07,-8.48719309e-07,2.372165797e-09,1,1,1,1
0.181,-1.068928875e-05,4.354880874e-05,4.18373572e-05,4.354199686e-05,4.184455824e-05,2.5e-06,2.5e-06,2.5e-06,2.5e-06,8.557270098e-07,-8.55731966e-07,8.48719309e-07,-8.48719309e-07,6.100507351e-08,1,1,1,1
0.191,-2.132925476e-05,4.354880874e-05,4.18373572e-05,4.354199686e-05,4.184455824e-05,2.5e-06,2.5e-06,2.5e-06,2.5e-06,8.557270098e-07,-8.55731966e-07,8.48719309e-07,-8.48719309e-07,1.273305274e-07,1,1,1,1
0.201,-3.196211005e-05,4.354880874e-05,4.18373572e-05,4.354199686e-05,4.184455824e-05,2.5e-06,2.5e-06,2.5e-06,2.5e-06,8.557270098e-07,-8.55731966e-07,8.48719309e-07,-8.48719309e-07,1.996225631e-07,1,1,1,1
