"Time","estimated_follow_longi_velocity","estimated_follow_sideslip_angle","estimated_lead_longi_velocity","estimated_lead_sideslip_angle","groundtruth_follow_longi_velocity","groundtruth_follow_sideslip_angle","groundtruth_lead_longi_velocity","groundtruth_lead_sideslip_angle"
0.001,0,0,0,0,0,0,0,0
0.011,0,0,0,0,3.807334575e-09,0,3.807334575e-09,0
0.021,-1.060598523e-05,0,0,0,1.791336353e-08,0,1.791336353e-08,0
0.031,-2.127870289e-05,0,-5.428200979e-06,0,-2.607814418e-08,0,-2.607814419e-08,0
0.041,-3.199469965e-05,0,-5.428200979e-06,0,-8.217679824e-08,0,-8.217679815e-08,0
0.051,-4.268359864e-08,0,-2.790204823e-05,0,-1.361082191e-07,0,-1.36108218e-07,0
0.061,-1.078007423e-05,0,-2.790204823e-05,0,-1.759360449e-07,0,-1.759360464e-07,0
0.071,-2.15131085e-05,0,-5.044885622e-05,0,-1.996336441e-07,0,-1.996336499e-07,0
0.081,-3.223592939e-05,0,-5.044885622e-05,0,-2.131541247e-07,0,-2.131541317e-07,0
0.091,-4.290733947e-08,0,-6.968849722e-08,0,-2.156331451e-07,0,-2.156331477e-07,0
0.101,-1.07468134e-05,0,-6.968849722e-08,0,-2.113849279e-07,0,-2.113849208e-07,0
0.111,-2.14420635e-05,0,-2.36255499e-05,0,-2.004455694e-07,0,-2.00445549e-07,0
0.121,-3.212931682e-05,0,-2.36255499e-05,0,-1.827207348e-07,0,-1.827206998e-07,0
0.131,-4.276574916e-08,0,-4.496042059e-08,0,-1.593558696e-07,0,-1.593558208e-07,0
0.141,-1.071525122e-05,0,-4.496042059e-08,0,-1.28875435e-07,0,-1.288753748e-07,0
0.151,-2.138063986e-05,0,-2.032750101e-05,0,-9.228222544e-08,0,-9.228215691e-08,0
0.161,-3.204003739e-05,0,-2.032750101e-05,0,-4.863155562e-08,0,-4.863148205e-08,0
0.171,-4.265186472e-08,0,-4.586514838e-08,0,2.372161444e-09,0,2.372236879e-09,0
0.181,-1.068928875e-05,0,-4.586514838e-08,0,6.100506918e-08,0,6.100514366e-08,0
0.191,-2.132925476e-05,0,-1.495664374e-05,0,1.273305233e-07,0,1.273305944e-07,0
0.201,-3.196211005e-05,0,-1.495664374e-05,0,1.996225593e-07,0,1.996226252e-07,0
0.211,-4.254871973e-08,0,-3.937954901e-08,0,2.769347668e-07,0,2.76934826e-07,0
0.221,-1.066390215e-05,0,-3.937954901e-08,0,3.575127321e-07,0,3.575127835e-07,0
0.231,-2.128068866e-05,0,-2.446849246e-05,0,4.393369814e-07,0,4.393370244e-07,0
0.241,-3.188435215e-05,0,-2.446849246e-05,0,5.196374539e-07,0,5.196374883e-07,0
0.251,-4.243970041e-08,0,-4.245999488e-08,0,5.946702574e-07,0,5.946702835e-07,0
0.261,-1.064163969e-05,0,-4.245999488e-08,0,6.594749941e-07,0,6.594750126e-07,0
0.271,-2.126294336e-05,0,-1.699419408e-05,0,7.08008795e-07,0,7.080088069e-07,0
0.281,-3.190778878e-05,0,-1.699419408e-05,0,7.36722249e-07,0,7.367222556e-07,0
0.291,-4.25354101e-08,0,-3.821557356e-08,0,7.466670638e-07,0,7.466670664e-07,0
0.301,-1.072857413e-05,0,-3.821557356e-08,0,7.414219289e-07,0,7.414219288e-07,0
0.311,-2.142854348e-05,0,-2.567238595e-05,0,7.252251682e-07,0,7.252251663e-07,0
0.321,-3.213779237e-05,0,-2.567238595e-05,0,7.023816103e-07,0,7.023816071e-07,0
0.331,-4.281143898e-08,0,-4.59704505e-08,0,6.764465536e-07,0,6.764465496e-07,0
0.341,-1.075870923e-05,0,-4.59704505e-08,0,6.503263955e-07,0,6.503263907e-07,0
0.351,-2.147362469e-05,0,-2.469245187e-05,0,6.261590097e-07,0,6.261590043e-07,0
0.361,-3.218566445e-05,0,-2.469245187e-05,0,6.053931142e-07,0,6.05393108e-07,0
0.371,-4.285205218e-08,0,-4.607269865e-08,0,5.889991293e-07,0,5.889991221e-07,0
0.381,-1.074592826e-05,0,-4.607269865e-08,0,5.774593933e-07,0,5.77459385e-07,0
0.391,-2.144378596e-05,0,-1.503523914e-05,0,5.70990999e-07,0,5.709909893e-07,0
